akesi	uF1901.stacked
ala	uF1902.stacked
alasa	uF1903.stacked
ale	uF1904.stacked
anpa	uF1905.stacked
ante	uF1906.stacked
anu	uF1907.stacked
apeja	uF19A1.stacked
awen	uF1908.stacked
en	uF190A.stacked
epiku1	uFFAAB.stacked
epiku2	uFFAAC.stacked
esun	uF190B.stacked
ijo	uF190C.stacked
ike	uF190D.stacked
ilo	uF190E.stacked
insa	uF190F.stacked
jaki	uF1910.stacked
jan	uF1911.stacked
jasima	uF197F.stacked
jelo	uF1912.stacked
jo	uF1913.stacked
kala1	uF1914.stacked
kala2	uFFAA0.stacked
kalama	uF1915.stacked
kama	uF1916.stacked
kasi	uF1917.stacked
ken	uF1918.stacked
kepeken	uF1919.stacked
kijetesantakalu	uF1980.stacked
kili	uF191A.stacked
kipisi	uF197B.stacked
kiwen	uF191B.stacked
ko	uF191C.stacked
kokosila1	uFFAAD.stacked
kokosila2	uFFAAE.stacked
kon	uF191D.stacked
ku	uF1988.stacked
kule	uF191E.stacked
kulupu	uF191F.stacked
kute	uF1920.stacked
lanpan1	uFFAAF.stacked
lanpan2	uFFAB0.stacked
lanpan3	uFFAB1.stacked
lape	uF1922.stacked
laso	uF1923.stacked
lawa	uF1924.stacked
leko	uF197C.stacked
len	uF1925.stacked
lete	uF1926.stacked
lili	uF1928.stacked
linja	uF1929.stacked
lipu	uF192A.stacked
loje	uF192B.stacked
lon	uF192C.stacked
luka	uF192D.stacked
lukin	uF192E.stacked
lupa	uF192F.stacked
ma	uF1930.stacked
majuna1	uFFAB2.stacked
majuna2	uFFAB3.stacked
mama	uF1931.stacked
mani	uF1932.stacked
meli1	uF1933.stacked
meli2	uFFAA1.stacked
meso1	uFFAA9.stacked
meso2	uFFAAA.stacked
mi1	uFFB04.stacked
mi2	uFFB05.stacked
mije1	uF1935.stacked
mije2	uFFAA2.stacked
misikeke	uF1987.stacked
moku	uF1936.stacked
moli	uF1937.stacked
monsi	uF1938.stacked
monsuta	uF197D.stacked
mu	uF1939.stacked
mun	uF193A.stacked
musi	uF193B.stacked
mute	uF193C.stacked
namako1	uFFAA7.stacked
namako2	uFFAA8.stacked
nanpa	uF193D.stacked
nasa	uF193E.stacked
nasin	uF193F.stacked
nena	uF1940.stacked
ni1	uFFB03.stacked
ni2	uFFB02.stacked
ni3	uFFB01.stacked
ni4	uFFB00.stacked
nimi	uF1942.stacked
noka	uF1943.stacked
oko	uF197A.stacked
olin1	uF1945.stacked
olin2	uFFAA3.stacked
ona1	uFFB08.stacked
ona2	uFFB09.stacked
open	uF1947.stacked
pakala	uF1948.stacked
pake	uF19A0.stacked
pali	uF1949.stacked
palisa	uF194A.stacked
pan	uF194B.stacked
pana	uF194C.stacked
pilin	uF194E.stacked
pimeja	uF194F.stacked
pini	uF1950.stacked
pipi	uF1951.stacked
poka	uF1952.stacked
poki	uF1953.stacked
pona	uF1954.stacked
powe	uF19A3.stacked
pu	uF1955.stacked
sama	uF1956.stacked
seli	uF1957.stacked
selo	uF1958.stacked
seme	uF1959.stacked
sewi1	uF195A.stacked
sewi2	uFFAA4.stacked
sijelo	uF195B.stacked
sike	uF195C.stacked
sin	uF195D.stacked
sina1	uFFB06.stacked
sina2	uFFB07.stacked
sinpin	uF195F.stacked
sitelen	uF1960.stacked
soko1	uF1981.stacked
soko2	uFFD66.stacked
sona	uF1961.stacked
soweli	uF1962.stacked
suli	uF1963.stacked
suno	uF1964.stacked
supa	uF1965.stacked
suwi	uF1966.stacked
tan	uF1967.stacked
taso	uF1968.stacked
tawa	uF1969.stacked
telo	uF196A.stacked
tenpo	uF196B.stacked
toki	uF196C.stacked
tomo	uF196D.stacked
tonsi	uF197E.stacked
tu	uF196E.stacked
unpa	uF196F.stacked
uta1	uF1970.stacked
uta2	uFFAA5.stacked
utala	uF1971.stacked
walo	uF1972.stacked
wan	uF1973.stacked
waso	uF1974.stacked
wawa	uF1975.stacked
weka	uF1976.stacked
wile1	uF1977.stacked
wile2	uFFAA6.stacked
