# Property: Block
#
# @missing: E000..F8FF; No_Block
# @missing: F0000..10FFFF; No_Block

F700..F7FF; Kreative Software Private Use-F7
F800..F89F; Kreative Software Private Use-F8
F1900..F19FF; Sitelen Pona
F1C40..F1C7F; Titi Pula
F1C80..F1C9F; Sitelen Pona Radicals
FF100..FF1FF; Kreative Software Private Use-FF1
FF900..FFABF; Sitelen Pona Presentation Forms-A
FFAC0..FFBFF; Sitelen Pona Presentation Forms-B
FFD00..FFDFF; Sitelen Pona Presentation Forms-C
FFE00..FFEFF; Sitelen Pona Presentation Forms-D

# EOF
